principio_ativo,nome_normalizado,forma_farmaceutica,unidade_dispensavel,concentracao_texto,via_administracao,aliases,fonte,versao_base
acetato de prednisolona,acetato de prednisolona 10 mg/ml suspensão oftálmica,suspensão oftálmica,suspensão,10 mg/ml,oftálmica,ACETATO DE PREDNISOLONA|OFTPRED|PREDOPTIC|STER|VISIOPRED,ANVISA/CMED 2026-06,2026-06
acetato de racealfatocoferol,acetato de racealfatocoferol 400 mg cápsula gelatinosa mole,cápsula gelatinosa mole,cápsula,400 mg,oral,VITAMIN E|VITAMINA E,ANVISA/CMED 2026-06,2026-06
acetato de racealfatocoferol,acetato de racealfatocoferol 400 mg cápsula mole,cápsula mole,cápsula,400 mg,oral,EMAMA|EPHYNAL|TEUTOVIT E|VITA E,ANVISA/CMED 2026-06,2026-06
acetato de racealfatocoferol + betacaroteno + selênio + cobre + ácido ascórbico + zinco,acetato de racealfatocoferol + betacaroteno + selênio + cobre + ácido ascórbico + zinco comprimido revestido,comprimido revestido,comprimido,,oral,VITERGAN ZINCO,ANVISA/CMED 2026-06,2026-06
acetato de racealfatocoferol + palmitato de retinol + colecalciferol,"acetato de racealfatocoferol + palmitato de retinol + colecalciferol 10 + 0,02 + 15 mg/ml solução oral",solução oral,solução,"10 + 0,02 + 15 mg/ml",oral,ADEFORTE,ANVISA/CMED 2026-06,2026-06
acetato de racealfatocoferol + palmitato de retinol + colecalciferol,"acetato de racealfatocoferol + palmitato de retinol + colecalciferol 11,76 + 0,04 + 30 mg/ml solução oral",solução oral,solução,"11,76 + 0,04 + 30 mg/ml",oral,ADEFORTE,ANVISA/CMED 2026-06,2026-06
acetato de racealfatocoferol + silybum marianum (l.) gaertn,acetato de racealfatocoferol + silybum marianum (l.) gaertn 215 + 200 mg comprimido,comprimido,comprimido,215 + 200 mg,oral,SILIMALON VITA E,ANVISA/CMED 2026-06,2026-06
acetato de racealfatocoferol + ácido fólico,acetato de racealfatocoferol + ácido fólico 800 mcg + 20 mg cápsula mole,cápsula mole,cápsula,800 mcg + 20 mg,oral,ENVID,ANVISA/CMED 2026-06,2026-06
acetato de retinol + colecalciferol,acetato de retinol + colecalciferol 50000 + 10000 ui/ml solução oral,solução oral,solução,50000 + 10000 ui/ml,oral,AD-TIL|AD-VITAM,ANVISA/CMED 2026-06,2026-06
acetato de rezafungina,acetato de rezafungina 200 mg pó liofilizado para solução para infusão,pó liofilizado para solução para infusão,pó,200 mg,intravenosa,REZZAYO,ANVISA/CMED 2026-06,2026-06
acetato de sódio trihidratado,acetato de sódio trihidratado 2 meq/ml solução injetável,solução injetável,solução,2 meq/ml,intravenosa,ACETATO DE SÓDIO,ANVISA/CMED 2026-06,2026-06
acetato de sódio triidratado,acetato de sódio triidratado 2 meq/ml solução injetável,solução injetável,solução,2 meq/ml,intravenosa,ACETATO DE SÓDIO,ANVISA/CMED 2026-06,2026-06
acetato de sódio triidratado + cloreto de cálcio diidratado + citrato de sódio di-hidratado + cloreto de magnésio hexaidratado + cloreto de potássio + cloreto de sódio,acetato de sódio triidratado + cloreto de cálcio diidratado + citrato de sódio di-hidratado + cloreto de magnésio hexaidratado + cloreto de potássio + cloreto de sódio solução oftálmica,solução oftálmica,solução,,oftálmica,SOLUÇÃO SALINA BALANCEADA - HALEX ISTAR,ANVISA/CMED 2026-06,2026-06
acetato de sódio triidratado + cloreto de cálcio diidratado + hidroxietilamido + cloreto de magnésio hexaidratado + cloreto de potássio + cloreto de sódio,"acetato de sódio triidratado + cloreto de cálcio diidratado + hidroxietilamido + cloreto de magnésio hexaidratado + cloreto de potássio + cloreto de sódio 60 + 6 + 0,40 + 0,134 + 0,20 + 3,70 mg/ml solução injetável",solução injetável,solução,"60 + 6 + 0,40 + 0,134 + 0,20 + 3,70 mg/ml",intravenosa,ISTARHES,ANVISA/CMED 2026-06,2026-06
acetato de sódio triidratado + gliconato de sódio + cloreto de magnésio hexaidratado + cloreto de potássio + cloreto de sódio,acetato de sódio triidratado + gliconato de sódio + cloreto de magnésio hexaidratado + cloreto de potássio + cloreto de sódio solução injetável,solução injetável,solução,,intravenosa,PLASMAFUNDIN,ANVISA/CMED 2026-06,2026-06
acetato de sódio triidratado + gliconato de sódio + cloreto de magnésio hexaidratado + cloreto de potássio + cloreto de sódio,acetato de sódio triidratado + gliconato de sódio + cloreto de magnésio hexaidratado + cloreto de potássio + cloreto de sódio solução para infusão,solução para infusão,solução,,intravenosa,PLASMAISTAR|SOLLUID,ANVISA/CMED 2026-06,2026-06
